"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL77814";"";"0";"185.19";"0";"1.74";"69";"N#CC(C#N)=CNc1ccc(O)cc1";"IC50";"'='";"350000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None"
"CHEMBL113356";"";"0";"411.29";"0";"4.91";"27";"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL680019";"Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None"
"CHEMBL323699";"";"0";"426.31";"0";"4.35";"36";"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCc3ccccn3)nc21";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL680019";"Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None"
"CHEMBL324030";"";"0";"349.44";"0";"2.13";"35";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O";"IC50";"'='";"8709.64";"nM";"5.06";"";"";"UO_0000065";"14.48";"0.30";"2.93";"4.66";"False";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None"
"CHEMBL479800";"";"0";"451.91";"1";"7.07";"17";"Fc1cccc(COc2ccc(Nc3ncnc4cc(-c5ccco5)sc34)cc2Cl)c1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"17.70";"0.35";"0.93";"13.29";"False";"CHEMBL1028080";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143296";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL242349";"";"0";"491.50";"0";"3.22";"32";"COCCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccc(OC)c4)=CC3=O)c2cc1OC";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL892954";"Inhibition of human EGFR in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL24828";"VANDETANIB";"4";"475.36";"1";"5.00";"31, ZD-6474";"COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL892954";"Inhibition of human EGFR in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL242131";"";"0";"444.31";"0";"4.33";"27";"CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1";"IC50";"'='";"704.0";"nM";"6.15";"";"";"UO_0000065";"13.85";"0.30";"1.82";"8.77";"False";"CHEMBL892954";"Inhibition of human EGFR in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL243628";"";"0";"563.56";"1";"3.91";"18";"CCOc1cc2ncnc(NC3=CC(=O)C(OCc4ccc(F)c(F)c4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C";"IC50";"'='";"894.3";"nM";"6.05";"";"";"UO_0000065";"10.73";"0.20";"2.14";"4.93";"False";"CHEMBL892954";"Inhibition of human EGFR in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL142985";"";"0";"304.35";"0";"4.51";"23";"COC(=O)c1ccc(-c2cccc(-c3ccccc3)c2O)cc1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL677207";"In vitro inhibition of intrinsic tyrosine protein kinase activity of the Epidermal growth factor receptor using tripeptide RR-Src";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128699";"1";"Scientific Literature";"J. Med. Chem.";"1995";"None"
"CHEMBL243839";"";"0";"533.61";"1";"3.69";"22";"CCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccs4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C";"IC50";"'='";"47.5";"nM";"7.32";"";"";"UO_0000065";"13.72";"0.26";"3.63";"5.97";"False";"CHEMBL892951";"Inhibition of human EGFR in presence of 1 uM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
